科目,代碼,班別,限修人數,支援系所,支援年級,支援班別,擋修系所,擋修年級,擋修班別,保留本系名額,篩選原則,支援通識科目,支援通識人數,先修科目,其他備註
專長術科（二）-定向越野,3901024,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「定向越野」專長項目之學生修讀。 &nbsp
專長術科（二）-綜合,3901026,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系生「綜合」專長項目學生修讀。 &nbsp
專長術科（二）-排球,3901028,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系生「排球」專長項目學生修讀。 &nbsp
體育學原理,3901103,01班,40,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,限本系生修;於加退選期間開放外系學生選修。 &nbsp
幼兒體能與遊戲,3901106,01班,40,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,無 &nbsp
撞球,3901109,01班,50,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,限本系生修讀;於加退選期間開放外系學生選修。 &nbsp
運動傷害與急救,3902002,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,限本系生修讀;於加退選期間開放外系學生選修。 &nbsp
運動專業實習（一）,3902010,01班,40,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,限本系生修。 &nbsp
專長術科（四）-游泳,3902019,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「游泳」專長項目學生修讀。 &nbsp
專長術科（四）-網球,3902020,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「網球」專長項目之學生修讀。 &nbsp
專長術科（四）-羽球,3902021,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「羽球」專長項目之學生修讀。 &nbsp
專長術科（四）-跆拳道,3902023,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「跆拳道」專長項目之學生修讀。 &nbsp
專長術科（四）-射箭,3902024,01班,40,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「射箭」專長項目之學生修讀。 &nbsp
專長術科（四）-定向越野,3902025,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「定向越野」專長項目學生修讀。 &nbsp
專長術科（四）-綜合,3902026,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「綜合」專長項目學生修讀。 &nbsp
專長術科（四）-排球,3902031,01班,60,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,僅限本系「排球」專長項目之學生修讀。 &nbsp
運動管理學,3902106,01班,40,無,無,無,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][數學科學博士班][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫系][生醫所][生醫所][分生所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][環境智能博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][課研所][教育領導碩士學位學程][教育領導博士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],所有年級,所有班級,0,一次篩選,不支援,0,無,限本系生修讀;於加退選期間開放外系學生選修。 &nbsp
