科目,代碼,班別,限修人數,支援系所,支援年級,支援班別,擋修系所,擋修年級,擋修班別,保留本系名額,篩選原則,支援通識科目,支援通識人數,先修科目,其他備註
專題實驗（一）,4104800,05班,20,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][犯防系][師培中心][運競系][體育中心][通識中心][軍訓][語言中心],[1][2],所有班級,0,一次篩選,不支援,0,無,限系統軟體領域-熊博安教授、林迺衛副教授、羅習五副教授及薛幼苓副教授、何建忠助理教授指導之專題生選修。 &nbsp
密碼學與安全協定,4105004,01班,65,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
深度學習概論,4105016,01班,80,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
視訊處理,4105113,01班,65,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
模糊系統,4105205,01班,40,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],所有年級,所有班級,0,一次篩選,碩博合開,不支援,0,無
拍賣與機制設計理論,4105206,01班,65,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
增強式學習,4105251,01班,65,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
計算方法,4105310,01班,40,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
物聯網概論,4105399,01班,50,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
WWW 技術與應用,4105477,01班,24,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
大數據與搜尋引擎專題研究,4105482,01班,65,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
進階網路技術,4105501,01班,40,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
