學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
教育學院,犯罪防治研究所,1,3456071,01,獨立研究：批判犯罪學之視角Independent study: The perspective of critical criminology ,獨立研究：批判犯罪學之視角,Independent study: The perspective of critical criminology ,許華孚 ,2,2/0/0,2,選修," 三8,9",教育館604,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3456071_01,限許華孚老師指導學生修習
教育學院,犯罪防治研究所,1,3456072,01,"獨立研究：性侵家暴成癮研討Independent study: Sex offense,domestic violence, substance abuse ",獨立研究：性侵家暴成癮研討,"Independent study: Sex offense,domestic violence, substance abuse ",林明傑 ,2,2/0/0,2,選修," 四6,7",教育二館631,0,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3456072_01,限林明傑老師指導學生修習
教育學院,犯罪防治研究所,1,3457002,01,犯罪學研究方法Research  Methods for Criminology ,犯罪學研究方法,Research  Methods for Criminology ,楊士隆 鄭瑞隆 許華孚 ,3,3/0/0,3,必修," 四8,9,10",教育館604,0,博士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3457002_01,博班必修課程
教育學院,犯罪防治研究所,1,3457011,01,刑事訴訟法專題研究Seminar on Law of Criminal Procedure ,刑事訴訟法專題研究,Seminar on Law of Criminal Procedure ,陳慈幸 ,3,3/0/0,3,選修," 二3,4,5",教育館601,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3457011_01," ,列入司法心理碩士學分學程科目碩班選修課程"
教育學院,運動與休閒教育研究所,1,3905002,01,運動行銷與創意Sport marketing and Creativity ,運動行銷與創意,Sport marketing and Creativity ,廖俊儒 ,2,2/0/0,2,選修," 三10,11",運技系110室,40,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905002_01,
教育學院,運動與休閒教育研究所,1,3905015,01,應用競技運動心理學Applied Sport Psychology ,應用競技運動心理學,Applied Sport Psychology ,陳俊民 ,2,2/0/0,2,選修," 二2,3",運技系110室,40,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905015_01,
教育學院,運動與休閒教育研究所,1,3905017,01,運動教育學專題討論Seminar: Sport Pedagogy ,運動教育學專題討論,Seminar: Sport Pedagogy ,曾沈連魁 ,2,2/0/0,2,選修," 二10,11",運技系110室,40,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905017_01,
教育學院,運動與休閒教育研究所,1,3905020,01,肌力訓練與體能教練學專題研究：理論與實務Special Topics in Strength Training and Conditioning Coaching: Theories and Practice ,肌力訓練與體能教練學專題研究：理論與實務,Special Topics in Strength Training and Conditioning Coaching: Theories and Practice ,李淑芳 ,2,2/0/0,2,選修," 四2,3",技擊室1,60,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905020_01,
教育學院,運動與休閒教育研究所,1,3905035,01,運動與休閒資訊科技Sports & Leisure Information Technology Study ,運動與休閒資訊科技,Sports & Leisure Information Technology Study ,林晉榮 ,2,2/0/0,2,必修," 二4,5",運技系104室,40,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905035_01,
教育學院,運動與休閒教育研究所,1,3905039,01,當代運動與休閒書報討論Seminar: Contemporary Issues In Sports & Leisure Studies ,當代運動與休閒書報討論,Seminar: Contemporary Issues In Sports & Leisure Studies ,廖俊儒 ,2,0/0/2,1,必修," 三2,3",運技系104室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905039_01,
