學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
文學院,中國文學系,1,1101933,01,書道與日常應用Calligraphy: Theory and Practice ,書道與日常應用,Calligraphy: Theory and Practice ,劉庭彰 ,3,3/0/0,3,選修," 四4,5,6",文學院103,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1101933_01,"限本系生修. ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術文物學程科目"
文學院,中國文學系,2,1102012,01,文字學（二）The Study of Chinese Characters (II) ,文字學（二）,The Study of Chinese Characters (II) ,黃靜吟 ,2,2/0/0,2,必修," 二2,3",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102012_01,"先修科目(1102011)文字學（一）(曾經修習) 限本系生修. ,列入華語文教學學程科目外系限輔系、雙主修中文系之學生選修"
文學院,中國文學系,2,1102044,01,篆刻藝術Seal Engraving Art ,篆刻藝術,Seal Engraving Art ,馬玉紅 ,2,2/0/0,2,選修," 三8,9",文學院103,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102044_01,"限本系生修. ,列入「戲劇‧創意‧想像」學分學程科目 ,列入藝術文物學程科目"
文學院,中國文學系,2,1102163,01,論語的哲學詮釋The philosophical interpretation of the Analects ,論語的哲學詮釋,The philosophical interpretation of the Analects ,賴柯助 ,3,3/0/0,3,選修," 四4,5,6",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102163_01,
文學院,中國文學系,2,1102510,01,曲選及習作Selected Readings and Writing Practice in Chinese Ch'u ,曲選及習作,Selected Readings and Writing Practice in Chinese Ch'u ,游富凱 ,3,3/0/0,3,必修," 一10,11,12",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102510_01,"限本系生修. ,列入「戲劇‧創意‧想像」學分學程科目外系限輔系、雙主修中文系之學生選修"
文學院,中國文學系,2,1102525,01,唐人小說選讀Fiction of T'ang Dynasty ,唐人小說選讀,Fiction of T'ang Dynasty ,謝明勳 ,3,3/0/0,3,選修," 一4,5,6",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102525_01,
文學院,中國文學系,2,1102615,01,史傳名著選讀Selected Readings in Chinese Historical Writings ,史傳名著選讀,Selected Readings in Chinese Historical Writings ,王瓊玲 ,3,3/0/0,3,選修," 二4,5,6",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102615_01,
文學院,中國文學系,2,1102633,01,現代詩Modern Poetry ,現代詩,Modern Poetry ,張日郡 ,3,3/0/0,3,選修," 五4,5,6",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102633_01,
文學院,中國文學系,2,1102661,01,台灣現代主義小說選讀Selected Readings in Modernist Fiction in Taiwan ,台灣現代主義小說選讀,Selected Readings in Modernist Fiction in Taiwan ,陳俊啟 ,3,3/0/0,3,選修," 三10,11,12",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102661_01,
文學院,中國文學系,2,1102712,01,歷代文選及習作（二）Selected Readings in Chinese Literature and Writing Practice (II) ,歷代文選及習作（二）,Selected Readings in Chinese Literature and Writing Practice (II) ,楊玉君 ,3,3/0/0,3,必修," 三4,5,6",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102712_01,先修科目(1102711)歷代文選及習作（一）(曾經修習) 限本系生修.外系限輔系、雙主修中文系之學生選修
文學院,中國文學系,2,1102820,01,道家文獻選讀Selected Readings in Taoism ,道家文獻選讀,Selected Readings in Taoism ,陳佳銘 ,3,3/0/0,3,選修," 四7,8,9",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1102820_01,
文學院,中國文學系,3,1103022,01,中國文學史（二）A History of Chinese Literature (II) ,中國文學史（二）,A History of Chinese Literature (II) ,陳俊啟 ,3,3/0/0,3,必修," 二7,8,9",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103022_01,先修科目(1103021)中國文學史（一）(曾經修習) 限本系生修.外系限輔系、雙主修中文系之學生選修
文學院,中國文學系,3,1103112,01,中國思想史（二）A History of Chinese Thoughts (II) ,中國思想史（二）,A History of Chinese Thoughts (II) ,陳佳銘 ,3,3/0/0,3,必修," 五4,5,6",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103112_01,先修科目(1103111)中國思想史（一）(曾經修習) 限本系生修.外系限輔系、雙主修中文系之學生選修
文學院,中國文學系,3,1103225,01,文學批評Literary Criticism ,文學批評,Literary Criticism ,黃錦珠 ,3,3/0/0,3,選修," 二10,11,12",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103225_01,
文學院,中國文學系,3,1103249,01,當代文學思潮The Contemporary Literary Trend of Thoughts ,當代文學思潮,The Contemporary Literary Trend of Thoughts ,蕭義玲 ,2,2/0/0,2,選修," 二8,9",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103249_01,
文學院,中國文學系,3,1103312,01,聲韻學（二）Phonology (II) ,聲韻學（二）,Phonology (II) ,曾若涵 ,2,2/0/0,2,必修," 四8,9",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103312_01,先修科目(1103311)聲韻學（一）(曾經修習) 限本系生修.外系限輔系、雙主修中文系之學生選修
文學院,中國文學系,3,1103333,01,古文字學Chinese Paleography ,古文字學,Chinese Paleography ,黃靜吟 ,3,3/0/0,3,選修," 一7,8,9",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103333_01,
文學院,中國文學系,3,1103521,01,六朝志怪小說Six Dynasity Chih-kuai ,六朝志怪小說,Six Dynasity Chih-kuai ,謝明勳 ,3,3/0/0,3,選修," 二4,5,6",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103521_01,
文學院,中國文學系,3,1103740,01,讀詩品畫Reading Poetry and Appreciating Painting ,讀詩品畫,Reading Poetry and Appreciating Painting ,毛文芳 ,2,2/0/0,2,選修," 一10,11",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103740_01,
文學院,中國文學系,3,1103751,01,專家詞：蘇東坡詞Study of Special Writers on Ts'u: Su Dong-Po ,專家詞：蘇東坡詞,Study of Special Writers on Ts'u: Su Dong-Po ,蔡榮婷 ,3,3/0/0,3,選修," 三10,11,12",文學院104,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103751_01,
文學院,中國文學系,3,1103818,01,臺灣文學Taiwanese Literature ,臺灣文學,Taiwanese Literature ,江寶釵 李知灝 ,3,3/0/0,3,選修," 四10,11,12",文學院102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103818_01,
文學院,中國文學系,3,1103913,01,"書寫、影像與編輯Writing, Image and Layout ",書寫、影像與編輯,"Writing, Image and Layout ",莊家瑋 ,3,3/0/0,3,選修," 三7,8,9",文學院104,30,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1103913_01,"限本系生修. ,列入本土語言與文化實踐學分學程科目"
文學院,中國文學系,4,1104146,01,當代戲曲Contemporary Chinese Opera ,當代戲曲,Contemporary Chinese Opera ,游富凱 ,2,2/0/0,2,選修," 二10,11",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1104146_01,
文學院,中國文學系,4,1104158,01,編劇實作Practices of Playwriting ,編劇實作,Practices of Playwriting ,鍾欣志 ,3,3/0/0,3,選修," 三10,11,12",文學院101,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1104158_01,先修科目(1102919)編劇基礎(曾經修習) (1103958)劇本創作實務（一）(曾經修習) (1103959)劇本創作實務（二）(曾經修習) (只要符合任一先修條件)
文學院,外國語文學系,1,1151018,01,英文作文（二）English Composition (II)　　　　 (全英語授課/English-taught)  ,英文作文（二） (全英語授課),English Composition (II)　　　　 (English-taught)  ,陳玟君 ,3,3/0/0,3,必修, 二C 四C,文學院150,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151018_01,先修科目(1151017)英文作文（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151018,02,英文作文（二）English Composition (II)　　　　 (全英語授課/English-taught)  ,英文作文（二） (全英語授課),English Composition (II)　　　　 (English-taught)  ,楊意鈴 ,3,3/0/0,3,必修," 二4,5 四5",文學院151,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151018_02,先修科目(1151017)英文作文（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151018,03,英文作文（二）English Composition (II)　　　　 (全英語授課/English-taught)  ,英文作文（二） (全英語授課),English Composition (II)　　　　 (English-taught)  ,游文嘉 ,3,3/0/0,3,必修, 二C 四C,文學院281,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151018_03,先修科目(1151017)英文作文（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151022,01,西洋文學概論（二）Introduction to Western Literature (II) (全英語授課/English-taught)  ,西洋文學概論（二） (全英語授課),Introduction to Western Literature (II) (English-taught)  ,蔡美玉 ,3,3/0/0,3,必修," 三7,8,9",文學院148,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151022_01,限本系生修.
文學院,外國語文學系,1,1151022,02,西洋文學概論（二）Introduction to Western Literature (II) (全英語授課/English-taught)  ,西洋文學概論（二） (全英語授課),Introduction to Western Literature (II) (English-taught)  ,賀小本 ,3,3/0/0,3,必修," 三7,8,9",文學院143,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151022_02,限本系生修.
文學院,外國語文學系,1,1151024,01,法文（二）French (II) ,法文（二）,French (II) ,陳泓光 ,3,3/0/0,3,必修," 三4,5,6",文學院136,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151024_01,先修科目(1151023)法文（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151026,01,德文（二）German (II) ,德文（二）,German (II) ,楊美娟 ,3,3/0/0,3,必修," 一6,7,8",文學院148,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151026_01,先修科目(1151025)德文（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151028,01,日文（二）Japanese (II) ,日文（二）,Japanese (II) ,丁碧玉 ,3,3/0/0,3,必修," 二10,11,12",文學院136,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151028_01,先修科目(1151027)日文（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151030,01,西班牙文（二）Spanish (II) ,西班牙文（二）,Spanish (II) ,李優俐 ,3,3/0/0,3,必修," 五4,5,6",文學院148,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151030_01,先修科目(1151029)西班牙文（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151032,01,英語聽講（二）English Speaking and Listening (II) (全英語授課/English-taught)  ,英語聽講（二） (全英語授課),English Speaking and Listening (II) (English-taught)  ,陳月妙 ,3,3/0/0,3,必修," 二8 四8,9",文學院150,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151032_01,先修科目(1151031)英語聽講（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151032,02,英語聽講（二）English Speaking and Listening (II) (全英語授課/English-taught)  ,英語聽講（二） (全英語授課),English Speaking and Listening (II) (English-taught)  ,游文嘉 ,3,3/0/0,3,必修, 二F 四F,文學院281,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151032_02,先修科目(1151031)英語聽講（一）(及格) 限本系生修.
文學院,外國語文學系,1,1151032,03,英語聽講（二）English Speaking and Listening (II) (全英語授課/English-taught)  ,英語聽講（二） (全英語授課),English Speaking and Listening (II) (English-taught)  ,賀小本 ,3,3/0/0,3,必修, 二F 四F,文學院151,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1151032_03,先修科目(1151031)英語聽講（一）(及格) 限本系生修.
文學院,外國語文學系,2,1152002,01,語言學概論（二）Introduction to Linguistics (II) ,語言學概論（二）,Introduction to Linguistics (II) ,楊敏 ,3,3/0/0,3,必修, 二F 四F,文學院136,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152002_01,
文學院,外國語文學系,2,1152064,01,英文作文（四）English Composition (IV) (全英語授課/English-taught)  ,英文作文（四） (全英語授課),English Composition (IV) (English-taught)  ,鄭英雪 ,3,3/0/0,3,必修," 一8 三8,9",文學院151,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152064_01,先修科目(1152063)英文作文（三）(及格) 限本系生修.
文學院,外國語文學系,2,1152064,02,英文作文（四）English Composition (IV) ,英文作文（四）,English Composition (IV) ,龔紹明 ,3,3/0/0,3,必修, 一F 三F,文學院281,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152064_02,先修科目(1152063)英文作文（三）(及格) 限本系生修.
文學院,外國語文學系,2,1152064,03,英文作文（四）English Composition (IV) ,英文作文（四）,English Composition (IV) ,林欣瑩 ,3,3/0/0,3,必修," 一9 三8,9",文學院137,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152064_03,先修科目(1152063)英文作文（三）(及格) 限本系生修.
文學院,外國語文學系,2,1152078,01,英語聽講（四）English Speaking and Listening IV (全英語授課/English-taught)  ,英語聽講（四） (全英語授課),English Speaking and Listening IV (English-taught)  ,張美芳 ,3,3/0/0,3,必修," 二5 四4,5",文學院152,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152078_01,先修科目(1152077)英語聽講（三）(及格) 限本系生修.
文學院,外國語文學系,2,1152078,02,英語聽講（四）English Speaking and Listening IV (全英語授課/English-taught)  ,英語聽講（四） (全英語授課),English Speaking and Listening IV (English-taught)  ,林惠玲 ,3,3/0/0,3,必修, 二C 四C,文學院113,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152078_02,先修科目(1152077)英語聽講（三）(及格) 限本系生修.
文學院,外國語文學系,2,1152078,03,英語聽講（四）English Speaking and Listening IV (全英語授課/English-taught)  ,英語聽講（四） (全英語授課),English Speaking and Listening IV (English-taught)  ,羅林 ,3,3/0/0,3,必修," 二5 四4,5",文學院137,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152078_03,先修科目(1152077)英語聽講（三）(及格) 限本系生修.
文學院,外國語文學系,2,1152102,01,德文(四)German IV ,德文(四),German IV ,楊美娟 ,3,3/0/0,3,選修," 一10,11,12",文學院148,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152102_01,
文學院,外國語文學系,2,1152104,01,西班牙文(四)Spanish IV ,西班牙文(四),Spanish IV ,李優俐 ,3,3/0/0,3,選修," 五7,8,9",文學院148,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152104_01,
文學院,外國語文學系,2,1152106,01,法文(四)French IV ,法文(四),French IV ,陳泓光 ,3,3/0/0,3,選修," 三10,11,12",文學院136,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152106_01,
文學院,外國語文學系,2,1152108,01,日文 (四)Japanese IV ,日文 (四),Japanese IV ,丁碧玉 ,3,3/0/0,3,選修," 五10,11,12",文學院143,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1152108_01,
文學院,外國語文學系,3,1153002,01,美國文學（二）American Lit. (II) (全英語授課/English-taught)  ,美國文學（二） (全英語授課),American Lit. (II) (English-taught)  ,羅林 ,3,3/0/0,3,必修," 三4,5,6",文學院149,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1153002_01,
文學院,外國語文學系,3,1153012,01,英國文學：十八世紀English Literature: 18th ,英國文學：十八世紀,English Literature: 18th ,陳國榮 ,3,3/0/0,3,必修," 二5 四4,5",文學院143,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1153012_01,
文學院,外國語文學系,3,1153014,01,英國文學：維多利亞English Literature: Victorian ,英國文學：維多利亞,English Literature: Victorian ,龔紹明 ,3,3/0/0,3,必修, 一C 三C,文學院148,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1153014_01,
文學院,外國語文學系,3,1153016,01,英國文學：二十世紀English Literature: 20th (全英語授課/English-taught)  ,英國文學：二十世紀 (全英語授課),English Literature: 20th (English-taught)  ,張美芳 ,3,3/0/0,3,必修," 一4,5,6",文學院149,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1153016_01,
文學院,外國語文學系,4,1154168,01,翻譯Translation ,翻譯,Translation ,葉純純 ,3,3/0/0,3,選修," 三7,8,9",文學院150,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154168_01,
文學院,外國語文學系,4,1154187,01,高階閱讀Advanced Reading ,高階閱讀,Advanced Reading ,楊意鈴 ,3,3/0/0,3,選修," 三4,5,6",文學院113,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154187_01,
文學院,外國語文學系,4,1154246,01,西方戲劇：易卜生Western Drama: Henrik Ibsen ,西方戲劇：易卜生,Western Drama: Henrik Ibsen ,張美芳 ,3,3/0/0,3,選修," 三7,8,9",文學院152,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154246_01," ,列入「戲劇‧創意‧想像」學分學程科目"
文學院,外國語文學系,4,1154293,01,愛爾蘭電影與文學Irish Films and Literature ,愛爾蘭電影與文學,Irish Films and Literature ,楊意鈴 ,3,3/0/0,3,選修," 四7,8,9",文學院113,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154293_01,
文學院,外國語文學系,4,1154310,01,專題：應用文學Special Topic: Applied Literature (全英語授課/English-taught)  ,專題：應用文學 (全英語授課),Special Topic: Applied Literature (English-taught)  ,賀小本 ,3,3/0/0,3,選修," 一7,8,9",文學院152,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154310_01,
文學院,外國語文學系,4,1154311,01,二十世紀英國小說選讀Selected Readings of 20th Century English Novels ,二十世紀英國小說選讀,Selected Readings of 20th Century English Novels ,龔紹明 ,3,3/0/0,3,選修, 一B 三B,文學院281,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154311_01,
文學院,外國語文學系,4,1154312,01,"閱讀、旅行與創意寫作Reading, Travel and Creative Writing ",閱讀、旅行與創意寫作,"Reading, Travel and Creative Writing ",林欣瑩 ,3,3/0/0,3,選修," 四7,8,9",文學院137,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154312_01,
文學院,外國語文學系,4,1154313,01,學術英語寫作及研究入門Introduction to Academic Writing and Research Skills ,學術英語寫作及研究入門,Introduction to Academic Writing and Research Skills ,楊敏 ,3,3/0/0,3,選修," 一7,8,9",文學院150,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154313_01,先修科目(1151017)英文作文（一）(及格) (1151018)英文作文（二）(及格) (所有先修條件都必須符合)
文學院,外國語文學系,4,1154314,01,英語教學概論Introduction to English Teaching ,英語教學概論,Introduction to English Teaching ,楊敏 ,3,3/0/0,3,選修," 四4,5,6",文學院149,35,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1154314_01,
文學院,歷史學系,1,1201114,01,中國通史（二）General History of China (II) ,中國通史（二）,General History of China (II) ,張秀蓉 楊宇勛 ,4,4/0/0,4,必修," 三4,5 五4,5",文學院106,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1201114_01,
文學院,歷史學系,1,1201122,01,世界通史（二）World History (II) ,世界通史（二）,World History (II) ,方志強 ,4,4/0/0,4,必修," 三8,9 五8,9",文學院135,80,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1201122_01,
文學院,歷史學系,1,1201159,01,檔案史料建置實作Practices of Archives and Records Management ,檔案史料建置實作,Practices of Archives and Records Management ,蘇全正 ,2,2/0/0,2,必修," 一7,8",文學院106,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1201159_01,本系一年級學號雙號學生修讀
文學院,歷史學系,1,1201162,01,史學入門（二）Gateway to History (II) ,史學入門（二）,Gateway to History (II) ,李若文 ,2,2/0/0,2,必修," 四2,3",文學院106,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1201162_01,先修科目(1201161)史學入門（一）(及格) 
文學院,歷史學系,2,1201882,01,中國少數民族－概論（二）The National Minorities of Mainland China--Introduction (II) ,中國少數民族－概論（二）,The National Minorities of Mainland China--Introduction (II) ,林冠群 ,2,2/0/0,2,選修," 一4,5",文學院106,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1201882_01,專史.專題.史料選讀.應用史學類
文學院,歷史學系,2,1202152,01,世界現代史（二）History of the Contemporary World (II) ,世界現代史（二）,History of the Contemporary World (II) ,郭秀鈴 ,3,3/0/0,3,選修," 三10,11,12",文學院118,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1202152_01,世界斷代史類
文學院,歷史學系,2,1202232,01,台灣史（二）History of Taiwan (II) ,台灣史（二）,History of Taiwan (II) ,張建俅 ,3,3/0/0,3,必修," 一10,11,12",文學院106,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1202232_01,"先修科目(1201161)史學入門（一）(及格) (1201162)史學入門（二）(及格) (所有先修條件都必須符合) ,列入本土語言與文化實踐學分學程科目"
文學院,歷史學系,2,1202354,01,"隋唐五代史(二)History of Sui, Tang and Five Dynasties (II) ",隋唐五代史(二),"History of Sui, Tang and Five Dynasties (II) ",吳修安 ,3,3/0/0,3,選修," 二7,8,9",文學院106,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1202354_01,先修科目(1201113)中國通史（一）(及格) (1201114)中國通史（二）(及格) (所有先修條件都必須符合)中國斷代史類
文學院,歷史學系,2,1202452,01,古典晚期史(二)History of Late Antiquity(II) ,古典晚期史(二),History of Late Antiquity(II) ,杜子信 孫隆基 ,3,3/0/0,3,選修," 五4,5,6",文學院135,80,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_1202452_01,世界斷代史類
